shot_end_x,shot_end_y,shot_speed,shot_distance,gk_x,gk_y,gk_dive_distance,ball_travel_time,gk_reach_time,reaction_time,dist_from_center,dist_from_left_post,dist_from_right_post,dist_from_crossbar,dist_from_ground,zone,psxg,is_goal
1.826,0.692,65.8,12.4,3.518,0.0,1.828,0.7125,0.2354,0.1259,1.908,1.826,5.494,1.748,0.692,LOW_L,0.05,0
0.05,2.39,96.3,16.4,1.417,0.0,2.753,0.6433,0.1541,0.1802,3.795,0.05,7.27,0.05,2.39,TOP_L,0.62,1
6.547,1.744,76.2,7.2,3.532,0.0,3.483,0.3601,0.5662,0.12,2.934,6.547,0.773,0.696,1.744,TOP_R,0.985,1
1.325,1.565,78.7,11.0,4.051,0.0,3.143,0.5272,0.4939,0.1148,2.36,1.325,5.995,0.875,1.565,MID_L,0.8875,1
6.607,2.32,113.8,10.9,3.668,0.0,3.745,0.363,0.5474,0.0827,3.146,6.607,0.713,0.12,2.32,TOP_R,0.99,1
0.292,0.05,61.3,5.2,3.987,0.3,3.704,0.3194,0.81,0.1047,3.566,0.292,7.028,2.39,0.05,LOW_L,0.99,1
2.584,0.933,87.1,15.7,4.478,0.0,2.111,0.6845,0.286,0.1663,1.113,2.584,4.736,1.507,0.933,MID_C,0.05,0
3.563,0.532,48.2,19.9,3.271,0.0,0.607,1.5615,0.05,0.1017,0.695,3.563,3.757,1.908,0.532,LOW_C,0.05,0
5.688,1.179,67.1,6.0,4.303,0.0,1.818,0.3366,0.1587,0.1958,2.029,5.688,1.632,1.261,1.179,MID_R,0.65,0
6.652,2.014,61.0,10.3,3.454,0.3,3.628,0.6389,0.612,0.173,3.095,6.652,0.668,0.426,2.014,TOP_R,0.968,1
4.227,1.173,71.6,39.4,3.174,0.0,1.576,2.0838,0.0758,0.1028,0.569,4.227,3.093,1.267,1.173,MID_C,0.05,0
1.843,1.213,89.0,9.0,3.726,0.0,2.24,0.384,0.2833,0.1284,1.817,1.843,5.477,1.227,1.213,MID_L,0.65,1
1.754,0.354,86.4,8.3,4.151,0.3,2.398,0.362,0.4119,0.2203,2.094,1.754,5.566,2.086,0.354,LOW_L,0.986,1
1.357,2.107,85.4,28.5,2.54,0.3,2.16,1.2622,0.1082,0.1159,2.468,1.357,5.963,0.333,2.107,TOP_L,0.62,1
0.432,2.39,111.1,6.4,2.688,0.5,2.943,0.2198,0.3765,0.1907,3.433,0.432,6.888,0.05,2.39,TOP_L,0.99,1
5.081,1.031,99.0,7.5,4.689,0.3,0.83,0.2874,0.05,0.0968,1.434,5.081,2.239,1.409,1.031,MID_R,0.2,0
4.444,1.662,80.7,40.0,3.62,0.0,1.855,1.879,0.0184,0.08,0.9,4.444,2.876,0.778,1.662,TOP_C,0.05,0
6.439,0.15,86.0,17.6,4.028,0.0,2.416,0.7753,0.4568,0.197,2.978,6.439,0.881,2.29,0.15,LOW_R,0.6,1
6.01,1.03,73.6,10.2,4.558,0.3,1.624,0.5237,0.1753,0.1313,2.357,6.01,1.31,1.41,1.03,MID_R,0.2875,0
6.122,0.465,119.8,40.0,3.76,0.0,2.408,1.265,0.4031,0.1857,2.575,6.122,1.198,1.975,0.465,LOW_R,0.2875,0
7.054,2.081,85.5,9.6,3.553,0.0,4.072,0.4245,0.6876,0.1587,3.501,7.054,0.266,0.359,2.081,TOP_R,0.99,1
6.855,0.07,88.9,9.2,4.579,0.0,2.277,0.3922,0.4196,0.1275,3.395,6.855,0.465,2.37,0.07,LOW_R,0.99,1
6.003,1.129,120.2,24.2,6.531,0.3,0.982,0.7636,0.05,0.1616,2.344,6.003,1.317,1.311,1.129,MID_R,0.2875,0
5.926,1.945,68.2,7.0,3.421,0.0,3.171,0.3899,0.4387,0.1798,2.379,5.926,1.394,0.495,1.945,TOP_R,0.985,1
5.391,1.34,114.1,17.2,5.427,0.3,1.04,0.5703,0.05,0.08,1.735,5.391,1.929,1.1,1.34,MID_R,0.05,0
5.932,0.571,83.4,6.0,5.36,0.0,0.809,0.2732,0.05,0.1161,2.363,5.932,1.388,1.869,0.571,LOW_R,0.4,0
6.898,2.39,96.2,11.5,4.593,0.0,3.321,0.454,0.3888,0.1381,3.443,6.898,0.422,0.05,2.39,TOP_R,0.94,1
2.623,0.759,78.2,5.6,3.456,0.0,1.127,0.2708,0.0208,0.1878,1.135,2.623,4.697,1.681,0.759,LOW_C,0.2,0
6.912,2.116,99.9,15.2,4.729,0.0,3.04,0.5776,0.3581,0.1723,3.373,6.912,0.408,0.324,2.116,TOP_R,0.76,0
5.023,0.599,66.3,10.7,3.945,0.0,1.234,0.6105,0.0821,0.1285,1.498,5.023,2.297,1.841,0.599,LOW_R,0.05,0
2.174,0.505,64.6,38.1,4.596,0.0,2.474,2.2365,0.4179,0.1525,1.649,2.174,5.146,1.935,0.505,LOW_L,0.05,0
1.797,0.99,76.2,23.0,3.969,0.3,2.279,1.143,0.3556,0.1399,1.877,1.797,5.523,1.45,0.99,MID_L,0.05,0
5.227,1.013,72.6,5.1,4.371,0.5,0.998,0.2678,0.0265,0.1662,1.58,5.227,2.093,1.427,1.013,MID_R,0.2,0
1.422,1.562,96.4,40.0,3.094,0.5,1.98,1.5719,0.2304,0.1625,2.264,1.422,5.898,0.878,1.562,MID_L,0.2875,0
0.492,0.461,58.3,16.6,3.184,0.0,2.731,1.076,0.4855,0.1283,3.258,0.492,6.828,1.979,0.461,LOW_L,0.2875,0
3.905,1.693,110.2,40.0,3.362,0.0,1.778,1.3752,0.05,0.218,0.532,3.905,3.415,0.747,1.693,TOP_C,0.05,0
5.385,0.062,89.4,21.2,2.375,0.3,3.02,0.8987,0.6216,0.192,2.078,5.385,1.935,2.378,0.062,LOW_R,0.44,1
6.5,1.345,71.0,40.0,4.005,0.0,2.834,2.1353,0.4361,0.1506,2.843,6.5,0.82,1.095,1.345,MID_R,0.2875,0
1.079,0.516,106.0,21.0,4.593,0.5,3.514,0.7517,0.691,0.1428,2.675,1.079,6.241,1.924,0.516,LOW_L,0.8875,1
