match_id,minute,player,team,match_team1,match_team2,match_goals1,match_goals2,match_score_diff,shot_x,shot_y,gk_x,gk_y,target_goal,distance,body_part,goal,on_target,shot_end_x,shot_end_y,shot_speed,xg,psxg,combined,shot_type,situation,previous_action,player_position,under_pressure,first_touch,def1_x,def1_y,def2_x,def2_y,def3_x,def3_y,def4_x,def4_y
UPLOAD_DEMO_001,5,Bukayo Saka,Arsenal,Arsenal,Chelsea,1,2,0,96.2,42.5,104.0,34.5,right,9.8,Right Foot,false,true,1.85,1.95,86,0.14,0.78,0.109,Shot,Open Play,Cross,Winger,false,true,95.0,40.0,93.5,38.2,0,0,0,0
UPLOAD_DEMO_001,12,Cole Palmer,Chelsea,Arsenal,Chelsea,1,2,0,93.8,33.5,103.5,34.0,right,11.2,Left Foot,false,true,2.20,1.20,82,0.11,0.55,0.061,Shot,Open Play,Pass,Forward,true,false,92.0,32.0,91.5,35.5,90.0,33.0,0,0
UPLOAD_DEMO_001,18,Martin Odegaard,Arsenal,Arsenal,Chelsea,1,2,0,84.5,28.0,104.2,34.0,right,21.6,Right Foot,false,false,0,0,98,0.025,0,0.025,Shot,Open Play,Pass,Midfielder,false,false,86.0,30.5,87.5,28.8,0,0,0,0
UPLOAD_DEMO_001,23,Nicolas Jackson,Chelsea,Arsenal,Chelsea,1,2,0,98.5,32.8,103.0,34.5,right,6.7,Right Foot,true,true,0.45,0.35,92,0.42,0.95,0.399,Shot,Counter Attack,Through Ball,Forward,false,true,97.0,30.5,99.0,35.5,0,0,0,0
UPLOAD_DEMO_001,29,Gabriel Martinelli,Arsenal,Arsenal,Chelsea,1,2,-1,90.5,38.5,103.8,34.2,right,15.3,Left Foot,false,true,5.40,2.05,89,0.08,0.92,0.074,Shot,Open Play,Dribble,Winger,true,false,89.0,36.0,88.5,40.0,0,0,0,0
UPLOAD_DEMO_001,34,Cole Palmer,Chelsea,Arsenal,Chelsea,1,2,1,80.2,34.0,104.5,34.0,right,24.8,Left Foot,false,false,0,0,104,0.018,0,0.018,Shot,Open Play,Pass,Forward,false,false,82.0,33.0,83.5,34.5,0,0,0,0
UPLOAD_DEMO_001,38,Kai Havertz,Arsenal,Arsenal,Chelsea,1,2,-1,99.5,33.2,102.8,34.5,right,5.7,Header,true,true,3.10,1.85,68,0.31,0.84,0.260,Header,Set Piece,Cross,Forward,true,true,98.5,32.0,100.0,35.0,99.0,33.5,0,0
UPLOAD_DEMO_001,42,Enzo Fernandez,Chelsea,Arsenal,Chelsea,1,2,1,76.0,30.5,103.5,34.0,right,29.5,Right Foot,false,false,0,0,108,0.012,0,0.012,Volley,Open Play,Rebound,Midfielder,false,true,78.5,31.5,77.0,29.0,0,0,0,0
UPLOAD_DEMO_001,48,Bukayo Saka,Arsenal,Arsenal,Chelsea,1,2,0,93.5,40.0,104.0,34.5,right,12.8,Right Foot,false,true,4.20,1.10,84,0.10,0.62,0.062,Shot,Counter Attack,Pass,Winger,false,false,92.0,38.5,91.0,41.0,0,0,0,0
UPLOAD_DEMO_001,53,Nicolas Jackson,Chelsea,Arsenal,Chelsea,1,2,0,95.0,35.5,103.2,34.5,right,10.1,Left Foot,false,false,0,0,76,0.13,0,0.13,Shot,Open Play,Pass,Forward,true,false,94.0,34.0,93.5,37.0,0,0,0,0
UPLOAD_DEMO_001,58,Declan Rice,Arsenal,Arsenal,Chelsea,1,2,0,82.5,34.0,104.0,34.0,right,22.5,Right Foot,false,true,3.66,1.45,95,0.026,0.40,0.0104,Shot,Set Piece,Pass,Midfielder,false,false,84.0,33.5,83.5,35.0,85.0,32.5,0,0
UPLOAD_DEMO_001,64,Cole Palmer,Chelsea,Arsenal,Chelsea,1,2,0,98.8,34.5,104.0,34.0,right,6.2,Left Foot,true,true,0.65,0.55,89,0.39,0.97,0.378,Shot,Counter Attack,Through Ball,Forward,false,true,98.0,33.0,99.5,36.5,0,0,0,0
UPLOAD_DEMO_001,71,Gabriel Martinelli,Arsenal,Arsenal,Chelsea,1,2,1,87.5,30.0,103.5,34.0,right,18.3,Left Foot,false,false,0,0,91,0.045,0,0.045,Shot,Open Play,Dribble,Winger,false,false,89.0,31.0,86.5,29.0,0,0,0,0
UPLOAD_DEMO_001,76,Marc Cucurella,Chelsea,Arsenal,Chelsea,1,2,-1,72.0,40.5,104.5,34.0,right,33.6,Left Foot,false,false,0,0,112,0.008,0,0.008,Shot,Open Play,Pass,Defender,false,false,74.0,39.5,75.0,41.0,0,0,0,0
UPLOAD_DEMO_001,82,Kai Havertz,Arsenal,Arsenal,Chelsea,1,2,-1,99.2,36.5,103.0,34.0,right,5.5,Header,false,true,5.65,1.30,62,0.21,0.78,0.164,Header,Open Play,Cross,Forward,true,true,98.5,35.0,100.0,37.5,99.5,34.5,0,0
UPLOAD_DEMO_001,87,Nicolas Jackson,Chelsea,Arsenal,Chelsea,1,2,1,94.5,34.0,103.8,34.0,right,10.5,Right Foot,false,true,1.50,1.55,87,0.12,0.71,0.085,Shot,Open Play,Pass,Forward,false,false,93.0,33.5,93.5,35.5,0,0,0,0
UPLOAD_DEMO_001,90,Bukayo Saka,Arsenal,Arsenal,Chelsea,1,2,-1,89.0,38.0,104.0,34.5,right,15.8,Right Foot,true,true,0.80,1.95,93,0.07,0.96,0.067,Shot,Counter Attack,Pass,Winger,false,false,90.5,37.0,91.0,40.0,88.0,36.5,0,0
UPLOAD_DEMO_002,9,Erling Haaland,Manchester City,Manchester City,Liverpool,3,1,0,98.0,33.5,103.5,34.0,right,7.2,Right Foot,true,true,1.20,0.45,98,0.36,0.92,0.331,Shot,Counter Attack,Through Ball,Forward,false,true,97.0,32.0,98.5,35.5,0,0,0,0
UPLOAD_DEMO_002,17,Mohamed Salah,Liverpool,Manchester City,Liverpool,3,1,-1,92.5,40.5,104.2,34.5,right,13.4,Left Foot,false,true,5.80,1.65,88,0.09,0.88,0.079,Shot,Open Play,Cross,Winger,false,false,91.0,38.5,90.5,42.0,0,0,0,0
UPLOAD_DEMO_002,24,Phil Foden,Manchester City,Manchester City,Liverpool,3,1,1,86.5,28.5,104.0,34.0,right,18.3,Left Foot,true,true,1.10,1.85,99,0.045,0.97,0.044,Shot,Open Play,Pass,Forward,true,false,87.5,30.0,88.0,28.0,89.0,30.5,0,0
UPLOAD_DEMO_002,33,Virgil van Dijk,Liverpool,Manchester City,Liverpool,3,1,-2,93.0,33.0,103.5,34.0,right,12.0,Header,false,false,0,0,72,0.10,0,0.10,Header,Set Piece,Cross,Defender,true,true,92.0,32.0,93.0,35.0,91.5,33.5,0,0
UPLOAD_DEMO_002,41,Erling Haaland,Manchester City,Manchester City,Liverpool,3,1,2,99.5,35.0,103.0,34.5,right,5.6,Header,true,true,4.50,2.10,75,0.28,0.95,0.266,Header,Open Play,Cross,Forward,false,true,98.0,33.5,99.5,37.0,0,0,0,0
UPLOAD_DEMO_002,49,Darwin Nunez,Liverpool,Manchester City,Liverpool,3,1,-2,90.0,34.0,104.0,34.0,right,15.0,Right Foot,false,true,3.50,0.95,90,0.07,0.50,0.035,Shot,Open Play,Pass,Forward,true,false,89.0,33.0,89.5,35.0,0,0,0,0
UPLOAD_DEMO_002,56,Bernardo Silva,Manchester City,Manchester City,Liverpool,3,1,2,79.0,38.5,103.8,34.5,right,25.2,Right Foot,false,false,0,0,103,0.018,0,0.018,Shot,Open Play,Pass,Midfielder,false,false,81.0,38.0,80.5,37.0,0,0,0,0
UPLOAD_DEMO_002,63,Mohamed Salah,Liverpool,Manchester City,Liverpool,3,1,-2,97.5,32.0,103.5,34.0,right,7.0,Right Foot,true,true,0.55,1.95,86,0.34,0.99,0.337,Shot,Counter Attack,Through Ball,Winger,false,true,96.5,30.5,98.0,34.0,0,0,0,0
UPLOAD_DEMO_002,71,Kevin De Bruyne,Manchester City,Manchester City,Liverpool,3,1,2,84.0,34.0,104.0,34.0,right,21.0,Right Foot,false,false,0,0,107,0.026,0,0.026,Shot,Open Play,Pass,Midfielder,false,false,86.0,33.5,85.0,35.0,0,0,0,0
UPLOAD_DEMO_002,78,Diogo Jota,Liverpool,Manchester City,Liverpool,3,1,-2,95.5,36.0,104.0,34.5,right,9.8,Header,false,true,2.85,2.20,68,0.16,0.93,0.149,Header,Open Play,Cross,Forward,true,true,94.0,35.0,95.0,38.0,93.5,34.0,0,0
UPLOAD_DEMO_002,85,Julian Alvarez,Manchester City,Manchester City,Liverpool,3,1,2,91.0,33.5,103.5,34.0,right,14.0,Right Foot,false,true,4.85,1.05,84,0.09,0.85,0.077,Shot,Open Play,Dribble,Forward,false,false,90.0,32.5,89.5,34.5,0,0,0,0
UPLOAD_DEMO_002,90,Mohamed Salah,Liverpool,Manchester City,Liverpool,3,1,-2,86.5,30.5,104.0,34.0,right,18.9,Left Foot,false,false,0,0,96,0.04,0,0.04,Shot,Open Play,Pass,Winger,false,false,87.5,31.5,88.5,30.0,86.0,29.5,0,0
