shot_id,player_name,team,x_coord,y_coord,gk_x,gk_y,distance_to_goal,angle_to_goal,defenders_between,body_part,shot_type,situation,previous_action,player_position,match_minute,shot_power,shot_placement,match_score_diff,first_touch,under_pressure,goal_scored,target_goal,def1_x,def1_y,def2_x,def2_y,def3_x,def3_y,def4_x,def4_y,match_id,team1_name,team2_name,team1_goals,team2_goals,shot_end_x,shot_end_y,shot_speed,on_target
1,Mohamed Salah,Liverpool,96.5,38.2,104.2,34.5,9.8,25.3,2,Left Foot,Shot,Counter,Pass,Right Wing,23,85,8,1,True,False,True,right,95.2,36.8,97.8,40.1,0,0,0,0,PSXG_001,Liverpool,Manchester City,2,1,6.45,2.12,92,True
2,Erling Haaland,Manchester City,99.2,33.8,103.8,34.2,5.1,3.5,1,Right Foot,Shot,Open Play,Through Ball,Striker,31,92,9,0,True,True,True,right,98.5,35.2,0,0,0,0,0,0,PSXG_001,Liverpool,Manchester City,2,1,4.15,0.38,108,True
3,Kevin De Bruyne,Manchester City,82.4,28.5,104.1,33.9,24.8,15.2,3,Right Foot,Shot,Set Piece,Pass,Midfielder,45,78,6,-1,False,False,False,right,88.2,30.1,85.6,35.2,90.1,28.8,0,0,PSXG_001,Liverpool,Manchester City,2,1,,,71,False
4,Darwin Nunez,Liverpool,101.2,36.5,104.5,35.8,4.2,42.1,0,Head,Header,Corner,Cross,Striker,52,65,7,1,True,True,True,right,0,0,0,0,0,0,0,0,PSXG_001,Liverpool,Manchester City,2,1,5.82,1.95,55,True
5,Phil Foden,Manchester City,88.5,42.8,103.9,36.2,19.2,32.5,2,Left Foot,Shot,Open Play,Dribble,Winger,58,88,8,0,False,True,False,right,92.1,40.5,89.8,38.2,0,0,0,0,PSXG_001,Liverpool,Manchester City,2,1,3.55,1.22,85,True
6,Trent Alexander-Arnold,Liverpool,78.2,22.5,104.3,34.1,30.5,25.8,4,Right Foot,Shot,Open Play,Pass,Right Back,63,82,5,-1,True,False,False,right,82.5,25.8,79.8,30.2,85.2,28.5,88.1,32.1,PSXG_001,Liverpool,Manchester City,2,1,,,95,False
7,Bernardo Silva,Manchester City,94.8,31.2,104.0,33.5,11.5,15.8,1,Right Foot,Shot,Counter,Pass,Midfielder,71,75,7,1,True,True,True,right,96.2,32.8,0,0,0,0,0,0,PSXG_001,Liverpool,Manchester City,2,1,6.12,0.55,78,True
8,Luis Diaz,Liverpool,92.5,45.2,103.5,38.5,16.8,48.2,2,Left Foot,Shot,Fast Break,Through Ball,Left Wing,78,90,9,0,False,True,True,right,94.8,42.1,91.2,40.5,0,0,0,0,PSXG_001,Liverpool,Manchester City,2,1,0.72,2.28,102,True
9,Julian Alvarez,Manchester City,97.8,35.5,104.2,34.8,7.2,8.5,0,Right Foot,Shot,Rebound,Pass,Striker,82,88,8,1,True,False,False,right,0,0,0,0,0,0,0,0,PSXG_001,Liverpool,Manchester City,2,1,3.68,0.85,95,True
10,Diogo Jota,Liverpool,85.2,38.5,103.8,35.2,20.5,18.2,3,Right Foot,Shot,Open Play,Cross,Striker,88,72,6,-1,False,True,False,right,88.5,36.2,86.2,40.1,90.5,35.8,0,0,PSXG_001,Liverpool,Manchester City,2,1,,,68,False
11,Bukayo Saka,Arsenal,95.8,40.2,104.1,36.5,11.2,35.8,1,Right Foot,Shot,Counter,Dribble,Right Wing,12,85,8,0,True,True,True,right,97.2,38.5,0,0,0,0,0,0,PSXG_002,Arsenal,Chelsea,1,1,6.88,1.92,88,True
12,Cole Palmer,Chelsea,98.5,32.5,103.5,33.8,6.2,12.5,0,Left Foot,Shot,Penalty,Pass,Midfielder,25,78,9,0,False,False,True,right,0,0,0,0,0,0,0,0,PSXG_002,Arsenal,Chelsea,1,1,1.25,0.35,82,True
13,Gabriel Martinelli,Arsenal,88.2,25.8,104.2,32.5,20.8,25.5,2,Left Foot,Shot,Open Play,Pass,Left Wing,38,92,7,-1,True,False,False,right,90.5,28.2,87.8,30.5,0,0,0,0,PSXG_002,Arsenal,Chelsea,1,1,,,98,False
14,Nicolas Jackson,Chelsea,100.5,35.2,104.0,34.5,4.8,15.2,1,Right Foot,Shot,Open Play,Through Ball,Striker,45,80,8,1,True,True,False,right,99.8,36.5,0,0,0,0,0,0,PSXG_002,Arsenal,Chelsea,1,1,3.92,1.15,75,True
15,Martin Odegaard,Arsenal,82.5,34.8,103.8,34.2,22.5,3.5,4,Right Foot,Shot,Set Piece,Pass,Midfielder,52,75,6,0,False,False,False,right,85.2,32.5,88.5,35.8,90.2,33.2,86.8,38.5,PSXG_002,Arsenal,Chelsea,1,1,,,72,False
16,Enzo Fernandez,Chelsea,90.2,42.5,104.5,38.2,18.5,35.2,2,Right Foot,Shot,Open Play,Dribble,Midfielder,61,82,7,-1,True,True,False,right,92.8,40.2,89.5,38.8,0,0,0,0,PSXG_002,Arsenal,Chelsea,1,1,4.25,0.92,80,True
17,Kai Havertz,Arsenal,96.8,36.5,103.2,35.2,8.5,18.5,0,Head,Header,Corner,Cross,Striker,68,62,8,1,True,False,True,right,0,0,0,0,0,0,0,0,PSXG_002,Arsenal,Chelsea,1,1,5.55,2.18,52,True
18,Raheem Sterling,Chelsea,85.5,48.2,104.0,40.5,24.2,42.5,3,Right Foot,Shot,Counter,Pass,Winger,75,88,6,0,False,True,False,right,88.2,45.5,86.5,42.8,90.8,44.2,0,0,PSXG_002,Arsenal,Chelsea,1,1,,,92,False
19,Gabriel Jesus,Arsenal,99.2,34.2,104.8,34.5,6.2,5.8,1,Left Foot,Shot,Rebound,Pass,Striker,82,78,9,1,True,True,True,right,98.5,35.8,0,0,0,0,0,0,PSXG_002,Arsenal,Chelsea,1,1,6.22,0.28,85,True
20,Mykhailo Mudryk,Chelsea,92.5,28.5,103.5,32.8,14.8,22.5,2,Left Foot,Shot,Fast Break,Dribble,Winger,90,95,7,-1,False,False,False,right,94.8,30.2,91.2,32.5,0,0,0,0,PSXG_002,Arsenal,Chelsea,1,1,,,105,False
21,Vinicius Jr,Real Madrid,97.5,42.8,104.2,38.5,10.5,52.5,1,Left Foot,Shot,Counter,Dribble,Left Wing,8,92,9,0,True,True,True,right,98.8,40.2,0,0,0,0,0,0,PSXG_003,Real Madrid,Barcelona,3,2,0.45,2.32,98,True
22,Robert Lewandowski,Barcelona,100.8,34.5,103.5,34.2,4.2,8.5,0,Right Foot,Shot,Penalty,Pass,Striker,18,82,8,1,False,False,True,right,0,0,0,0,0,0,0,0,PSXG_003,Real Madrid,Barcelona,3,2,5.85,0.42,78,True
23,Jude Bellingham,Real Madrid,88.5,35.2,104.5,34.8,16.8,5.2,2,Right Foot,Shot,Open Play,Pass,Midfielder,25,85,7,-1,True,False,True,right,90.2,33.8,87.5,36.5,0,0,0,0,PSXG_003,Real Madrid,Barcelona,3,2,6.95,1.68,82,True
24,Pedri,Barcelona,82.2,30.5,103.8,33.2,24.5,10.8,3,Left Foot,Shot,Set Piece,Pass,Midfielder,35,72,5,0,False,True,False,right,85.5,32.8,88.2,28.5,84.8,35.2,0,0,PSXG_003,Real Madrid,Barcelona,3,2,3.45,1.05,68,True
25,Rodrygo,Real Madrid,95.2,28.8,104.0,32.5,13.5,28.5,1,Right Foot,Shot,Fast Break,Through Ball,Right Wing,48,88,8,1,True,True,True,right,96.5,30.2,0,0,0,0,0,0,PSXG_003,Real Madrid,Barcelona,3,2,6.78,2.15,95,True
26,Raphinha,Barcelona,90.5,45.8,103.2,40.2,18.2,45.2,2,Right Foot,Shot,Open Play,Cross,Right Wing,55,78,6,-1,False,False,False,right,92.8,42.5,89.2,44.8,0,0,0,0,PSXG_003,Real Madrid,Barcelona,3,2,,,75,False
27,Luka Modric,Real Madrid,78.5,34.2,104.5,34.5,26.8,2.5,4,Right Foot,Shot,Open Play,Pass,Midfielder,62,70,5,0,True,False,False,right,82.5,32.8,85.2,35.5,88.5,33.2,80.8,38.2,PSXG_003,Real Madrid,Barcelona,3,2,,,65,False
28,Gavi,Barcelona,96.8,38.5,104.2,36.2,9.2,22.5,1,Right Foot,Shot,Counter,Dribble,Midfielder,70,85,8,1,True,True,True,right,98.2,37.2,0,0,0,0,0,0,PSXG_003,Real Madrid,Barcelona,3,2,1.12,0.58,88,True
29,Eduardo Camavinga,Real Madrid,92.2,32.5,103.8,33.8,13.2,8.5,0,Left Foot,Shot,Rebound,Pass,Midfielder,78,82,7,-1,False,True,False,right,0,0,0,0,0,0,0,0,PSXG_003,Real Madrid,Barcelona,3,2,3.88,0.75,80,True
30,Ferran Torres,Barcelona,99.5,36.2,104.5,35.5,5.8,12.8,1,Left Foot,Shot,Open Play,Pass,Winger,85,75,9,0,True,False,True,right,98.8,37.5,0,0,0,0,0,0,PSXG_003,Real Madrid,Barcelona,3,2,0.38,1.92,72,True
31,Harry Kane,Bayern Munich,98.2,34.8,104.0,34.2,6.5,5.2,0,Right Foot,Shot,Open Play,Through Ball,Striker,15,88,9,1,True,True,True,right,0,0,0,0,0,0,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,5.25,0.32,92,True
32,Marco Reus,Dortmund,85.5,38.2,103.5,35.8,20.2,15.5,2,Left Foot,Shot,Counter,Pass,Midfielder,28,78,7,0,False,False,False,right,88.2,36.5,86.5,40.2,0,0,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,,,75,False
33,Jamal Musiala,Bayern Munich,92.8,42.5,104.2,38.5,14.5,35.8,1,Right Foot,Shot,Fast Break,Dribble,Midfielder,35,85,8,-1,True,True,True,right,94.5,40.2,0,0,0,0,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,6.55,2.25,88,True
34,Julian Brandt,Dortmund,78.2,32.5,103.8,33.2,27.5,5.8,3,Right Foot,Shot,Set Piece,Pass,Midfielder,42,72,5,1,False,False,False,right,82.5,30.8,80.2,35.2,85.8,32.5,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,,,68,False
35,Leroy Sane,Bayern Munich,95.5,25.2,104.5,32.8,14.8,38.5,0,Left Foot,Shot,Counter,Through Ball,Winger,55,95,8,0,True,False,True,right,0,0,0,0,0,0,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,0.62,2.38,102,True
36,Karim Adeyemi,Dortmund,100.2,36.5,103.2,35.2,4.5,28.5,1,Right Foot,Shot,Open Play,Dribble,Winger,62,82,9,-1,True,True,True,right,99.5,37.8,0,0,0,0,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,6.92,0.48,85,True
37,Thomas Muller,Bayern Munich,88.5,35.8,104.0,34.5,16.2,8.2,2,Right Foot,Header,Corner,Cross,Striker,70,58,7,1,False,True,False,right,90.2,34.2,87.8,38.5,0,0,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,4.15,1.55,52,True
38,Niclas Fullkrug,Dortmund,97.8,33.2,103.5,33.8,6.8,8.5,0,Head,Header,Set Piece,Cross,Striker,78,65,8,0,True,False,True,right,0,0,0,0,0,0,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,2.85,2.08,58,True
39,Serge Gnabry,Bayern Munich,82.5,28.5,104.2,32.2,24.8,18.5,3,Right Foot,Shot,Open Play,Pass,Winger,85,80,6,-1,False,False,False,right,85.8,30.2,88.5,26.8,84.2,32.5,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,,,78,False
40,Sebastien Haller,Dortmund,94.5,38.5,103.8,36.2,11.2,22.5,1,Left Foot,Shot,Rebound,Pass,Striker,90,75,7,1,True,True,False,right,96.2,37.2,0,0,0,0,0,0,PSXG_004,Bayern Munich,Dortmund,2,2,3.25,0.95,72,True
